# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0056.JPG,-88.049293,41.814052,196.769000,,,,2.006771,-0.030863,-0.732331,1.868120,,,,,-88.049293,41.814046,198.637120,255.470336,86.851994,-11.807515
DJI_0057.JPG,-88.049302,41.814035,196.769000,,,,1.887933,0.161966,-0.435148,1.829947,,,,,-88.049300,41.814031,198.598947,257.397981,86.889989,-13.151521
DJI_0057.JPG,-88.049302,41.814035,196.769000,,,,1.887933,0.161966,-0.435148,1.829947,,,,,-88.049300,41.814031,198.598947,257.397981,86.889989,-13.151521
DJI_0058.JPG,-88.049311,41.814017,196.769000,,,,2.043148,0.158408,-0.871493,1.841157,,,,,-88.049309,41.814009,198.610157,269.378069,87.182182,-25.479539
DJI_0058.JPG,-88.049311,41.814017,196.769000,,,,2.043148,0.158408,-0.871493,1.841157,,,,,-88.049309,41.814009,198.610157,269.378069,87.182182,-25.479539
DJI_0059.JPG,-88.049325,41.813995,196.669000,,,,2.067157,0.033398,-0.801623,1.905104,,,,,-88.049324,41.813987,198.574104,313.790794,87.495163,0.000000
DJI_0059.JPG,-88.049325,41.813995,196.669000,,,,2.067157,0.033398,-0.801623,1.905104,,,,,-88.049324,41.813987,198.574104,313.790794,87.495163,0.000000
DJI_0060.JPG,-88.049340,41.813957,198.369000,,,,1.847961,0.361971,-0.576848,1.717901,,,,,-88.049336,41.813951,200.086901,314.219562,84.396234,-9.381885
DJI_0060.JPG,-88.049340,41.813957,198.369000,,,,1.847961,0.361971,-0.576848,1.717901,,,,,-88.049336,41.813951,200.086901,314.219562,84.396234,-9.381885
DJI_0061.JPG,-88.049341,41.813936,199.969000,,,,1.710071,0.363128,-0.670679,1.530578,,,,,-88.049337,41.813930,201.499578,324.658959,81.795703,-4.791305
DJI_0061.JPG,-88.049341,41.813936,199.969000,,,,1.710071,0.363128,-0.670679,1.530578,,,,,-88.049337,41.813930,201.499578,324.658959,81.795703,-4.791305
DJI_0062.JPG,-88.049343,41.813921,201.169000,,,,1.783008,0.402925,-0.959084,1.448078,,,,,-88.049338,41.813913,202.617078,330.414633,81.047600,-3.263330
DJI_0062.JPG,-88.049343,41.813921,201.169000,,,,1.783008,0.402925,-0.959084,1.448078,,,,,-88.049338,41.813913,202.617078,330.414633,81.047600,-3.263330
DJI_0063.JPG,-88.049369,41.813909,201.769000,,,,1.651304,0.208139,-0.783144,1.438808,,,,,-88.049366,41.813902,203.207808,338.233286,80.995489,-3.016897
